gene_name	chr	start	stop	timing	cancerType
THAP3	chr1	6684925	6695646	early	LUAD
DNAJC11	chr1	6694228	6761966	early	LUAD
VAMP3	chr1	7831329	7841492	early	LUAD
PER3	chr1	7844380	7905237	early	LUAD
UTS2	chr1	7903143	7973294	early	LUAD
TNFRSF9	chr1	7975931	8003225	early	LUAD
PARK7	chr1	8021714	8045342	early	LUAD
SLC45A1	chr1	8384390	8404227	early	LUAD
RERE	chr1	8412464	8877699	early	LUAD
SLC2A7	chr1	9063359	9086404	early	LUAD
SLC2A5	chr1	9097005	9148510	early	LUAD
GPR157	chr1	9164476	9189229	early	LUAD
H6PD	chr1	9294863	9331394	early	LUAD
SPSB1	chr1	9352941	9429590	early	LUAD
SLC25A33	chr1	9599528	9642831	early	LUAD
TMEM201	chr1	9648932	9674935	early	LUAD
PIK3CD	chr1	9711790	9789172	early	LUAD
PIK3CD-AS1	chr1	9712668	9714644	early	LUAD
CLSTN1	chr1	9789079	9884550	early	LUAD
CTNNBIP1	chr1	9908334	9970316	early	LUAD
LZIC	chr1	9989776	10003427	early	LUAD
NMNAT1	chr1	10003486	10045556	early	LUAD
RBP7	chr1	10057255	10076078	early	LUAD
UBE4B	chr1	10093041	10241296	early	LUAD
KIF1B	chr1	10270764	10441661	early	LUAD
PGD	chr1	10459085	10480201	early	LUAD
CENPS-CORT	chr1	10490159	10512060	early	LUAD
CENPS	chr1	10490159	10502872	early	LUAD
CORT	chr1	10509776	10512060	early	LUAD
DFFA	chr1	10520603	10532613	early	LUAD
PEX14	chr1	10535003	10690815	early	LUAD
CASZ1	chr1	10696666	10856733	early	LUAD
C1orf127	chr1	11006530	11042094	early	LUAD
TARDBP	chr1	11072679	11085549	early	LUAD
MASP2	chr1	11086580	11107296	early	LUAD
SRM	chr1	11114649	11120091	early	LUAD
EXOSC10	chr1	11126676	11159938	early	LUAD
MTOR	chr1	11166588	11322608	early	LUAD
MTOR-AS1	chr1	11203955	11209595	early	LUAD
ANGPTL7	chr1	11249346	11256038	early	LUAD
UBIAD1	chr1	11333255	11348491	early	LUAD
DISP3	chr1	11539295	11597640	early	LUAD
FBXO2	chr1	11708418	11714888	early	LUAD
FBXO44	chr1	11714432	11723384	early	LUAD
FBXO6	chr1	11724150	11734409	early	LUAD
MAD2L2	chr1	11734537	11751678	early	LUAD
DRAXIN	chr1	11751781	11780336	early	LUAD
AGTRAP	chr1	11796142	11810828	early	LUAD
MTHFR	chr1	11845787	11866160	early	LUAD
CLCN6	chr1	11866153	11903201	early	LUAD
NPPA-AS1	chr1	11900376	11907674	early	LUAD
NPPB	chr1	11917521	11918992	early	LUAD
KIAA2013	chr1	11979645	11986485	early	LUAD
PLOD1	chr1	11994724	12035599	early	LUAD
MFN2	chr1	12040238	12073572	early	LUAD
MIIP	chr1	12079299	12092106	early	LUAD
TNFRSF8	chr1	12123434	12204264	early	LUAD
TNFRSF1B	chr1	12227060	12269277	early	LUAD
MIR4632	chr1	12251762	12251839	early	LUAD
VPS13D	chr1	12290113	12572098	early	LUAD
SNORA59B	chr1	12567300	12567451	early	LUAD
DHRS3	chr1	12627939	12677820	early	LUAD
AADACL4	chr1	12704566	12727097	early	LUAD
AADACL3	chr1	12776118	12788726	early	LUAD
C1orf158	chr1	12806163	12821102	early	LUAD
PRAMEF12	chr1	12834984	12838048	early	LUAD
PRAMEF1	chr1	12851546	12856777	early	LUAD
PRAMEF11	chr1	12884468	12891264	early	LUAD
HNRNPCL3	chr1	12907236	12908237	early	LUAD
HNRNPCL1	chr1	12907261	12908578	early	LUAD
PRAMEF2	chr1	12916941	12921764	late	LUAD
PRAMEF4	chr1	12939033	12946025	late	LUAD
PRAMEF10	chr1	12952727	12958094	late	LUAD
PRAMEF6	chr1	12998302	13007406	late	LUAD
PRAMEF22	chr1	13035543	13038381	late	LUAD
HNRNPCL2	chr1	13182960	13184326	late	LUAD
PRAMEF9	chr1	13421176	13648988	late	LUAD
PRAMEF19	chr1	13474053	13698405	late	LUAD
PRAMEF20	chr1	13516066	13747803	late	LUAD
LRRC38	chr1	13801445	13840242	late	LUAD
PDPN	chr1	13910252	13944452	late	LUAD
PRDM2	chr1	14026735	14151574	late	LUAD
KAZN	chr1	14925213	15444544	late	LUAD
FHAD1	chr1	15573768	15726778	early	LUAD
EFHD2	chr1	15736391	15756839	early	LUAD
CTRC	chr1	15764938	15773153	early	LUAD
CELA2A	chr1	15783223	15798586	early	LUAD
CELA2B	chr1	15802596	15817895	early	LUAD
CASP9	chr1	15817324	15851285	early	LUAD
DNAJC16	chr1	15853352	15918874	early	LUAD
AGMAT	chr1	15898194	15911605	early	LUAD
DDI2	chr1	15943953	15987552	early	LUAD
RSC1A1	chr1	15986364	15988217	early	LUAD
CROCCP3	chr1	16793931	16819196	early	LUAD
NBPF1	chr1	16888922	16940100	early	LUAD
CROCCP2	chr1	16944751	16971178	early	LUAD
MST1P2	chr1	16972069	16976915	early	LUAD
ESPNP	chr1	17017713	17046652	early	LUAD
CROCC	chr1	17066768	17299474	early	LUAD
MST1L	chr1	17081129	17090975	early	LUAD
MFAP2	chr1	17300999	17308081	early	LUAD
ATP13A2	chr1	17312453	17338423	early	LUAD
SDHB	chr1	17345225	17380665	early	LUAD
PADI2	chr1	17393256	17445948	early	LUAD
PADI1	chr1	17531621	17572501	early	LUAD
PADI3	chr1	17575593	17610727	early	LUAD
IGSF21	chr1	18434240	18704977	late	LUAD
TAS1R2	chr1	19166093	19186155	early	LUAD
ALDH4A1	chr1	19197924	19229293	early	LUAD
IFFO2	chr1	19230774	19282826	early	LUAD
UBR4	chr1	19401000	19536746	early	LUAD
EMC1	chr1	19542158	19578053	early	LUAD
MRTO4	chr1	19578075	19586622	early	LUAD
AKR7L	chr1	19592476	19600568	early	LUAD
AKR7A3	chr1	19609057	19615280	early	LUAD
LOC100506730	chr1	19619741	19622230	early	LUAD
AKR7A2	chr1	19629202	19638640	early	LUAD
SLC66A1	chr1	19638740	19658922	early	LUAD
CAPZB	chr1	19665267	19812066	early	LUAD
MICOS10-NBL1	chr1	19923471	19984949	early	LUAD
MICOS10	chr1	19923471	19956315	early	LUAD
RPS14P3	chr1	19934301	19935138	early	LUAD
NBL1	chr1	19969723	19984949	early	LUAD
HTR6	chr1	19991780	20006055	early	LUAD
TMCO4	chr1	20008706	20126758	early	LUAD
RNF186	chr1	20140522	20141771	early	LUAD
OTUD3	chr1	20208888	20239437	early	LUAD
PLA2G2E	chr1	20246800	20250110	early	LUAD
PLA2G5	chr1	20354672	20418394	earlier	LUAD
PLA2G2D	chr1	20439143	20446059	earlier	LUAD
PLA2G2F	chr1	20465823	20476879	earlier	LUAD
PLA2G2C	chr1	20490484	20501687	earlier	LUAD
UBXN10	chr1	20512578	20519942	earlier	LUAD
FAM43B	chr1	20878932	20881513	early	LUAD
CDA	chr1	20915444	20945400	early	LUAD
PINK1	chr1	20959948	20978004	early	LUAD
DDOST	chr1	20978260	20988037	early	LUAD
KIF17	chr1	20990507	21044317	early	LUAD
SH2D5	chr1	21046225	21059330	early	LUAD
HP1BP3	chr1	21069171	21113799	early	LUAD
EIF4G3	chr1	21132785	21503381	early	LUAD
ECE1	chr1	21543740	21672034	early	LUAD
ECE1-AS1	chr1	21619783	21626362	early	LUAD
NBPF3	chr1	21766583	21811393	early	LUAD
ALPL	chr1	21835858	21904905	early	LUAD
RAP1GAP	chr1	21922708	21995856	early	LUAD
USP48	chr1	22004792	22109688	early	LUAD
LDLRAD2	chr1	22138758	22151714	early	LUAD
HSPG2	chr1	22148737	22263750	early	LUAD
CDC42	chr1	22379120	22419436	early	LUAD
WNT4	chr1	22443798	22470385	early	LUAD
C1QA	chr1	22963118	22966175	early	LUAD
C1QC	chr1	22970118	22974603	early	LUAD
C1QB	chr1	22979682	22988029	early	LUAD
EPHB2	chr1	23037331	23241823	early	LUAD
TEX46	chr1	23337327	23342343	early	LUAD
KDM1A	chr1	23345941	23410184	early	LUAD
MIR3115	chr1	23370798	23370865	early	LUAD
LUZP1	chr1	23410516	23504301	early	LUAD
HTR1D	chr1	23518388	23521222	early	LUAD
HNRNPR	chr1	23636276	23670853	early	LUAD
ZNF436	chr1	23685941	23696357	early	LUAD
ZNF436-AS1	chr1	23695464	23698330	early	LUAD
TCEA3	chr1	23707555	23751261	early	LUAD
RPL11	chr1	24018269	24022915	early	LUAD
ELOA	chr1	24069856	24088549	early	LUAD
ELOA-AS1	chr1	24086872	24104787	early	LUAD
PITHD1	chr1	24104876	24114722	early	LUAD
LYPLA2	chr1	24117646	24122029	early	LUAD
HMGCL	chr1	24128367	24165110	early	LUAD
FUCA1	chr1	24171572	24194859	early	LUAD
CNR2	chr1	24200460	24239817	early	LUAD
MYOM3	chr1	24382531	24438665	early	LUAD
IL22RA1	chr1	24446261	24469775	early	LUAD
IFNLR1	chr1	24480647	24513765	early	LUAD
LINC02800	chr1	24526730	24538180	early	LUAD
GRHL3	chr1	24645812	24690970	early	LUAD
STPG1	chr1	24683489	24741587	early	LUAD
NIPAL3	chr1	24742245	24799473	early	LUAD
RCAN3AS	chr1	24822823	24828850	early	LUAD
RCAN3	chr1	24828841	24863510	early	LUAD
NCMAP	chr1	24882567	24935818	early	LUAD
SRRM1	chr1	24969594	24999772	early	LUAD
CLIC4	chr1	25071760	25170815	early	LUAD
SYF2	chr1	25548767	25559013	early	LUAD
RSRP1	chr1	25568740	25664656	early	LUAD
RHD	chr1	25598981	25656936	early	LUAD
TMEM50A	chr1	25664789	25688852	early	LUAD
RHCE	chr1	25688740	25756683	early	LUAD
MACO1	chr1	25757388	25826698	early	LUAD
LDLRAP1	chr1	25870076	25895377	early	LUAD
SLC30A2	chr1	26364514	26372604	early	LUAD
TRIM63	chr1	26377796	26394125	early	LUAD
PDIK1L	chr1	26437656	26452039	early	LUAD
FAM110D	chr1	26485511	26489119	early	LUAD
ZNF593	chr1	26496388	26497364	early	LUAD
CNKSR1	chr1	26503981	26516375	early	LUAD
CATSPER4	chr1	26517119	26529033	early	LUAD
CEP85	chr1	26560693	26605299	early	LUAD
SH3BGRL3	chr1	26606213	26608013	early	LUAD
UBXN11	chr1	26608773	26644756	early	LUAD
CD52	chr1	26644411	26647014	early	LUAD
CRYBG2	chr1	26648350	26680621	early	LUAD
ZNF683	chr1	26688125	26699266	early	LUAD
LIN28A	chr1	26737269	26756219	early	LUAD
DHDDS	chr1	26758773	26797795	early	LUAD
RPS6KA1	chr1	26856249	26901520	early	LUAD
ARID1A	chr1	27022522	27108601	early	LUAD
SLC9A1	chr1	27425300	27481621	early	LUAD
WDTC1	chr1	27561007	27635124	early	LUAD
TMEM222	chr1	27648636	27662891	early	LUAD
ACTG1P20	chr1	27650365	27653016	early	LUAD
SYTL1	chr1	27668483	27680423	early	LUAD
MAP3K6	chr1	27681670	27693337	early	LUAD
FCN3	chr1	27695601	27701315	early	LUAD
WASF2	chr1	27730734	27816678	early	LUAD
AHDC1	chr1	27860756	27930361	early	LUAD
FGR	chr1	27938801	27961727	early	LUAD
IFI6	chr1	27992572	27998724	early	LUAD
FAM76A	chr1	28052490	28089423	early	LUAD
STX12	chr1	28099694	28150963	early	LUAD
PPP1R8	chr1	28157252	28178183	early	LUAD
SCARNA1	chr1	28160912	28161077	early	LUAD
THEMIS2	chr1	28199055	28213193	early	LUAD
RPA2	chr1	28218049	28241236	early	LUAD
SMPDL3B	chr1	28261504	28285663	early	LUAD
XKR8	chr1	28286504	28294604	early	LUAD
EYA3	chr1	28296855	28415148	early	LUAD
PTAFR	chr1	28473677	28520447	early	LUAD
DNAJC8	chr1	28526790	28559542	early	LUAD
ATP5IF1	chr1	28562602	28564616	early	LUAD
PHACTR4	chr1	28696093	28826881	early	LUAD
RCC1	chr1	28832455	28865708	early	LUAD
SNHG3	chr1	28832455	28837404	early	LUAD
TRNAU1AP	chr1	28879529	28905057	early	LUAD
SNHG12	chr1	28905050	28908383	early	LUAD
TAF12	chr1	28929609	28969604	early	LUAD
OPRD1	chr1	29138654	29190208	early	LUAD
EPB41	chr1	29213603	29446558	early	LUAD
TMEM200B	chr1	29445937	29450421	early	LUAD
SRSF4	chr1	29474250	29508637	early	LUAD
MECR	chr1	29519385	29557454	early	LUAD
PTPRU	chr1	29563028	29653325	early	LUAD
MATN1	chr1	31184124	31196432	early	LUAD
MATN1-AS1	chr1	31191619	31199593	early	LUAD
LAPTM5	chr1	31205315	31230683	early	LUAD
SDC3	chr1	31342313	31381480	early	LUAD
PUM1	chr1	31404353	31538763	early	LUAD
SNORD103A	chr1	31408536	31422052	early	LUAD
SNORD103C	chr1	31441010	31441084	early	LUAD
NKAIN1	chr1	31652592	31712734	early	LUAD
SNRNP40	chr1	31732415	31769644	early	LUAD
ZCCHC17	chr1	31769842	31837780	early	LUAD
FABP3	chr1	31838100	31845923	early	LUAD
SERINC2	chr1	31882412	31907527	early	LUAD
LDC1P	chr1	31971839	31974167	early	LUAD
LINC01226	chr1	31984036	31989846	early	LUAD
TINAGL1	chr1	32042086	32053287	early	LUAD
HCRTR1	chr1	32083301	32098119	early	LUAD
PEF1	chr1	32095463	32110838	early	LUAD
ADGRB2	chr1	32192718	32229648	early	LUAD
MIR4254	chr1	32224261	32224336	early	LUAD
SPOCD1	chr1	32256025	32281580	early	LUAD
KPNA6	chr1	32573644	32642168	early	LUAD
TXLNA	chr1	32645345	32663886	early	LUAD
CCDC28B	chr1	32666202	32670991	early	LUAD
IQCC	chr1	32671236	32674288	early	LUAD
DCDC2B	chr1	32674695	32681797	early	LUAD
TMEM234	chr1	32680078	32687926	early	LUAD
EIF3I	chr1	32687185	32697205	early	LUAD
MTMR9LP	chr1	32697261	32707311	early	LUAD
FAM167B	chr1	32712818	32714461	early	LUAD
LCK	chr1	32716840	32751766	early	LUAD
HDAC1	chr1	32757708	32799224	early	LUAD
MARCKSL1	chr1	32799430	32801840	early	LUAD
FAM229A	chr1	32826871	32827844	early	LUAD
TSSK3	chr1	32827862	32829924	early	LUAD
BSDC1	chr1	32830705	32860062	early	LUAD
ZBTB8A	chr1	32930658	33071542	early	LUAD
ZBTB8B	chr1	32930658	32953459	early	LUAD
RNF19B	chr1	33402050	33430286	early	LUAD
AK2	chr1	33473541	33502512	early	LUAD
AZIN2	chr1	33546714	33586131	early	LUAD
TRIM62	chr1	33611003	33647671	early	LUAD
ZNF362	chr1	33722174	33766320	early	LUAD
A3GALT2	chr1	33772367	33786699	early	LUAD
PHC2	chr1	33789224	33896615	early	LUAD
ZSCAN20	chr1	33938232	33961995	early	LUAD
CSMD2	chr1	33979609	34631443	late	LUAD
HMGB4	chr1	34326076	34330392	late	LUAD
CSMD2-AS1	chr1	34334557	34351059	late	LUAD
C1orf94	chr1	34632624	34684731	late	LUAD
DLGAP3	chr1	35331037	35370984	late	LUAD
SFPQ	chr1	35649201	35658743	early	LUAD
KIAA0319L	chr1	35899091	36023551	early	LUAD
NCDN	chr1	36023393	36032380	early	LUAD
PSMB2	chr1	36035413	36107445	early	LUAD
TFAP2E	chr1	36038971	36060927	early	LUAD
C1orf216	chr1	36179477	36184790	early	LUAD
CLSPN	chr1	36197713	36235551	early	LUAD
AGO4	chr1	36273828	36323490	early	LUAD
AGO1	chr1	36335409	36389899	early	LUAD
AGO3	chr1	36396319	36522063	early	LUAD
TEKT2	chr1	36549676	36553876	early	LUAD
ADPRHL2	chr1	36554453	36559533	early	LUAD
COL8A2	chr1	36560844	36565850	early	LUAD
TRAPPC3	chr1	36602170	36621654	early	LUAD
MAP7D1	chr1	36621803	36646441	early	LUAD
STK40	chr1	36805225	36851485	early	LUAD
LSM10	chr1	36859031	36863493	early	LUAD
OSCP1	chr1	36883507	36916086	early	LUAD
MRPS15	chr1	36921362	36930040	early	LUAD
CSF3R	chr1	36931644	36948915	early	LUAD
GRIK3	chr1	37261128	37499844	late	LUAD
MIR4255	chr1	37627164	37627235	late	LUAD
LINC01137	chr1	37920480	37940044	early	LUAD
ZC3H12A	chr1	37940119	37949978	early	LUAD
MEAF6	chr1	37955561	37980420	early	LUAD
MIR5581	chr1	37966536	37966595	early	LUAD
SNIP1	chr1	38000050	38019945	early	LUAD
DNALI1	chr1	38022520	38032458	early	LUAD
GNL2	chr1	38032413	38061586	early	LUAD
RSPO1	chr1	38076951	38100595	early	LUAD
C1orf109	chr1	38147242	38157888	early	LUAD
CDCA8	chr1	38158073	38175391	early	LUAD
EPHA10	chr1	38179553	38230824	early	LUAD
MANEAL	chr1	38259774	38267278	early	LUAD
YRDC	chr1	38268614	38273865	early	LUAD
C1orf122	chr1	38273473	38275126	early	LUAD
MTF1	chr1	38275239	38325292	early	LUAD
INPP5B	chr1	38326369	38412729	early	LUAD
SF3A3	chr1	38422652	38455761	early	LUAD
FHL3	chr1	38462442	38471187	early	LUAD
UTP11	chr1	38478384	38490497	early	LUAD
POU3F1	chr1	38509523	38512450	early	LUAD
MIR3659	chr1	38554903	38555001	early	LUAD
LINC01343	chr1	38674706	38680439	early	LUAD
MACF1	chr1	39547089	39952810	early	LUAD
KIAA0754	chr1	39875176	39882154	early	LUAD
BMP8A	chr1	39957318	39995541	early	LUAD
PPIEL	chr1	39987952	40025370	early	LUAD
PABPC4	chr1	40026485	40042521	early	LUAD
SNORA55	chr1	40033046	40033182	early	LUAD
HEYL	chr1	40089103	40105348	early	LUAD
NT5C1A	chr1	40124793	40137710	early	LUAD
HPCAL4	chr1	40144645	40157089	early	LUAD
PPIE	chr1	40204517	40229586	early	LUAD
BMP8B	chr1	40223903	40254533	early	LUAD
TRIT1	chr1	40306706	40349177	early	LUAD
MYCL	chr1	40361096	40367687	early	LUAD
MFSD2A	chr1	40420784	40435628	early	LUAD
CAP1	chr1	40506255	40538321	early	LUAD
PPT1	chr1	40538382	40563142	early	LUAD
RLF	chr1	40627041	40706593	early	LUAD
TMCO2	chr1	40713573	40717365	early	LUAD
ZMPSTE24	chr1	40723722	40759856	early	LUAD
COL9A2	chr1	40766163	40783060	early	LUAD
SMAP2	chr1	40839378	40888998	early	LUAD
ZFP69B	chr1	40915774	40929390	early	LUAD
ZFP69	chr1	40943302	40962015	early	LUAD
EXO5	chr1	40974433	40982214	early	LUAD
ZNF684	chr1	40997233	41013841	early	LUAD
RIMS3	chr1	41086352	41131324	early	LUAD
NFYC-AS1	chr1	41154752	41157933	early	LUAD
NFYC	chr1	41157242	41237276	early	LUAD
KCNQ4	chr1	41249684	41306124	early	LUAD
CITED4	chr1	41326728	41328018	early	LUAD
CTPS1	chr1	41445007	41478235	early	LUAD
SLFNL1-AS1	chr1	41480262	41509562	early	LUAD
SLFNL1	chr1	41481269	41487427	early	LUAD
SCMH1	chr1	41492871	41707815	early	LUAD
EDN2	chr1	41944446	41950344	early	LUAD
HIVEP3	chr1	41972036	42501596	early	LUAD
GUCA2B	chr1	42619092	42621495	early	LUAD
GUCA2A	chr1	42628362	42630395	early	LUAD
FOXJ3	chr1	42642210	42801548	earlier	LUAD
RIMKLA	chr1	42846468	42889900	earlier	LUAD
ZMYND12	chr1	42896001	42921938	earlier	LUAD
PPIH	chr1	43124048	43142429	early	LUAD
YBX1	chr1	43148066	43168020	early	LUAD
CLDN19	chr1	43198764	43205925	early	LUAD
P3H1	chr1	43212006	43232755	early	LUAD
C1orf50	chr1	43232916	43241413	early	LUAD
TMEM269	chr1	43253661	43263901	early	LUAD
SVBP	chr1	43272723	43283059	early	LUAD
ERMAP	chr1	43282776	43310660	early	LUAD
ZNF691	chr1	43312244	43318146	early	LUAD
SLC2A1	chr1	43391046	43424847	early	LUAD
SLC2A1-AS1	chr1	43424720	43449029	early	LUAD
FAM183A	chr1	43613594	43622067	early	LUAD
EBNA1BP2	chr1	43629845	43736607	early	LUAD
CFAP57	chr1	43638001	43720029	early	LUAD
TMEM125	chr1	43735665	43739673	early	LUAD
C1orf210	chr1	43747557	43751288	early	LUAD
TIE1	chr1	43766566	43791552	early	LUAD
MPL	chr1	43803475	43820135	early	LUAD
CDC20	chr1	43824626	43828873	early	LUAD
ELOVL1	chr1	43829068	43833745	early	LUAD
MED8	chr1	43849579	43855483	early	LUAD
SZT2	chr1	43855556	43919918	early	LUAD
HYI	chr1	43916674	43919660	early	LUAD
PTPRF	chr1	43996547	44089343	early	LUAD
KDM4A	chr1	44115797	44171189	early	LUAD
KDM4A-AS1	chr1	44165356	44173012	early	LUAD
ST3GAL3	chr1	44171495	44396837	early	LUAD
ARTN	chr1	44398992	44402912	early	LUAD
IPO13	chr1	44412478	44433694	early	LUAD
DPH2	chr1	44435653	44439043	early	LUAD
ATP6V0B	chr1	44440602	44443972	early	LUAD
B4GALT2	chr1	44444874	44456843	early	LUAD
SLC6A9	chr1	44457172	44497164	early	LUAD
CCDC24	chr1	44457280	44462198	early	LUAD
KLF17	chr1	44514030	44600809	early	LUAD
DMAP1	chr1	44679125	44686351	early	LUAD
ERI3	chr1	44686742	44820939	early	LUAD
RNF220	chr1	44870960	45117396	early	LUAD
TMEM53	chr1	45119501	45140099	early	LUAD
EIF2B3	chr1	45316194	45452394	early	LUAD
HECTD3	chr1	45468220	45477027	early	LUAD
UROD	chr1	45477805	45481341	early	LUAD
ZSWIM5	chr1	45482076	45672250	early	LUAD
HPDL	chr1	45792545	45794346	early	LUAD
MUTYH	chr1	45794914	45806142	early	LUAD
TOE1	chr1	45805342	45809650	early	LUAD
TESK2	chr1	45809555	45956840	early	LUAD
CCDC163	chr1	45959598	45965751	early	LUAD
MMACHC	chr1	45965856	45976739	early	LUAD
PRDX1	chr1	45976707	45988562	early	LUAD
AKR1A1	chr1	46016455	46035723	early	LUAD
NASP	chr1	46049660	46084578	early	LUAD
CCDC17	chr1	46085716	46089731	early	LUAD
GPBP1L1	chr1	46092976	46152302	early	LUAD
RPS15AP10	chr1	46111452	46112357	early	LUAD
TMEM69	chr1	46153847	46160108	early	LUAD
IPP	chr1	46159998	46216485	early	LUAD
MAST2	chr1	46269285	46501796	early	LUAD
PIK3R3	chr1	46505812	46642160	early	LUAD
TSPAN1	chr1	46640749	46651634	early	LUAD
POMGNT1	chr1	46654353	46685977	early	LUAD
LURAP1	chr1	46669006	46686928	early	LUAD
RAD54L	chr1	46713367	46744145	early	LUAD
LRRC41	chr1	46744072	46769038	early	LUAD
UQCRH	chr1	46769380	46782447	early	LUAD
NSUN4	chr1	46805849	46830824	early	LUAD
FAAH	chr1	46859939	46879520	early	LUAD
FAAHP1	chr1	46899499	46911374	early	LUAD
DMBX1	chr1	46972668	46979886	early	LUAD
MKNK1-AS1	chr1	47004368	47035927	early	LUAD
KNCN	chr1	47011316	47016887	early	LUAD
MKNK1	chr1	47023079	47082563	early	LUAD
MOB3C	chr1	47073387	47082563	early	LUAD
ATPAF1	chr1	47100711	47134099	early	LUAD
EFCAB14	chr1	47124359	47184736	early	LUAD
TEX38	chr1	47137497	47139256	early	LUAD
EFCAB14-AS1	chr1	47139708	47157769	early	LUAD
CYP4B1	chr1	47264670	47285021	early	LUAD
CYP4Z2P	chr1	47308767	47366147	late	LUAD
CYP4A11	chr1	47394846	47407156	late	LUAD
CYP4X1	chr1	47427036	47516423	late	LUAD
LINC00853	chr1	47644922	47646011	early	LUAD
PDZK1IP1	chr1	47649261	47655771	early	LUAD
TAL1	chr1	47681963	47697892	early	LUAD
STIL	chr1	47694868	47779819	early	LUAD
TRABD2B	chr1	48226200	48462562	later	LUAD
SKINT1L	chr1	48567387	48648100	later	LUAD
SPATA6	chr1	48761044	48937876	late	LUAD
AGBL4	chr1	48998527	50489626	late	LUAD
BEND5	chr1	49193540	49242547	late	LUAD
ELAVL4	chr1	50513686	50667540	late	LUAD
FAF1	chr1	50906935	51425936	late	LUAD
CDKN2C	chr1	51433608	51440309	early	LUAD
C1orf185	chr1	51567906	51613754	early	LUAD
RNF11	chr1	51701945	51739119	early	LUAD
TTC39A	chr1	51752930	51810785	early	LUAD
EPS15	chr1	51819935	51984995	early	LUAD
OSBPL9	chr1	52042851	52254891	early	LUAD
NRDC	chr1	52254866	52344609	early	LUAD
MIR761	chr1	52302016	52302074	early	LUAD
RAB3B	chr1	52373628	52456436	early	LUAD
TXNDC12	chr1	52485804	52521843	early	LUAD
KTI12	chr1	52497777	52499472	early	LUAD
BTF3L4	chr1	52521857	52556388	early	LUAD
ZFYVE9	chr1	52607766	52812358	early	LUAD
CC2D1B	chr1	52816265	52831877	early	LUAD
ORC1	chr1	52838501	52870143	early	LUAD
PRPF38A	chr1	52870219	52883992	early	LUAD
TUT4	chr1	52888948	53019130	early	LUAD
GPX7	chr1	53068043	53074723	early	LUAD
SHISAL2A	chr1	53099066	53135339	early	LUAD
COA7	chr1	53152014	53164038	early	LUAD
ZYG11B	chr1	53192131	53293013	early	LUAD
ZYG11A	chr1	53308183	53360247	early	LUAD
ECHDC2	chr1	53361582	53392851	early	LUAD
SCP2	chr1	53392901	53517289	early	LUAD
PODN	chr1	53527724	53551174	early	LUAD
SLC1A7	chr1	53552851	53608289	early	LUAD
CPT2	chr1	53662101	53679869	early	LUAD
CZIB	chr1	53679772	53686289	early	LUAD
MAGOH	chr1	53692564	53704282	early	LUAD
LOC100507564	chr1	53704282	53708455	early	LUAD
LRP8	chr1	53708041	53793821	early	LUAD
SLC25A3P1	chr1	53904043	53905693	early	LUAD
DMRTB1	chr1	53925072	53933158	early	LUAD
GLIS1	chr1	53971906	54199877	early	LUAD
NDC1	chr1	54231134	54304225	early	LUAD
YIPF1	chr1	54317392	54355487	early	LUAD
DIO1	chr1	54359861	54376759	early	LUAD
HSPB11	chr1	54387234	54411288	early	LUAD
LRRC42	chr1	54411999	54433841	early	LUAD
LDLRAD1	chr1	54472971	54483859	early	LUAD
TMEM59	chr1	54497349	54519111	early	LUAD
