chr	start	stop	timing	cancerType
chr1	12850000	12900000	late	LUAD
chr1	12900000	12950000	late	LUAD
chr1	13300000	13350000	late	LUAD
chr1	13350000	13400000	late	LUAD
chr1	13400000	13450000	late	LUAD
chr1	13450000	13500000	late	LUAD
chr1	13500000	13550000	late	LUAD
chr1	13550000	13600000	late	LUAD
chr1	13600000	13650000	late	LUAD
chr1	13650000	13700000	late	LUAD
chr1	13700000	13750000	late	LUAD
chr1	13750000	13800000	late	LUAD
chr1	13800000	13850000	late	LUAD
chr1	13850000	13900000	late	LUAD
chr1	13900000	13950000	late	LUAD
chr1	13950000	1.4e+07	late	LUAD
chr1	1.4e+07	14050000	late	LUAD
chr1	14050000	14100000	late	LUAD
chr1	14100000	14150000	late	LUAD
chr1	14150000	14200000	late	LUAD
chr1	14200000	14250000	late	LUAD
chr1	14250000	14300000	late	LUAD
chr1	14350000	14400000	later	LUAD
chr1	14400000	14450000	later	LUAD
chr1	14450000	14500000	later	LUAD
chr1	14500000	14550000	later	LUAD
chr1	14600000	14650000	late	LUAD
chr1	14700000	14750000	late	LUAD
chr1	14750000	14800000	late	LUAD
chr1	14800000	14850000	late	LUAD
chr1	14850000	14900000	late	LUAD
chr1	14900000	14950000	late	LUAD
chr1	1.5e+07	15050000	earlier	LUAD
chr1	15050000	15100000	earlier	LUAD
chr1	15100000	15150000	earlier	LUAD
chr1	15250000	15300000	early	LUAD
chr1	15300000	15350000	early	LUAD
chr1	15350000	15400000	early	LUAD
chr1	15400000	15450000	early	LUAD
chr1	15450000	15500000	early	LUAD
chr1	15500000	15550000	early	LUAD
chr1	15550000	15600000	early	LUAD
chr1	15600000	15650000	early	LUAD
chr1	15650000	15700000	early	LUAD
chr1	15700000	15750000	early	LUAD
chr1	15750000	15800000	early	LUAD
chr1	15900000	15950000	early	LUAD
chr1	15950000	1.6e+07	early	LUAD
chr1	1.6e+07	16050000	early	LUAD
chr1	16300000	16350000	early	LUAD
chr1	16350000	16400000	early	LUAD
chr1	16400000	16450000	early	LUAD
chr1	16450000	16500000	early	LUAD
chr1	16500000	16550000	early	LUAD
chr1	16550000	16600000	early	LUAD
chr1	16600000	16650000	early	LUAD
chr1	16750000	16800000	early	LUAD
chr1	16850000	16900000	early	LUAD
chr1	16900000	16950000	early	LUAD
chr1	16950000	1.7e+07	early	LUAD
chr1	1.7e+07	17050000	early	LUAD
chr1	17050000	17100000	early	LUAD
chr1	17100000	17150000	early	LUAD
chr1	17150000	17200000	early	LUAD
chr1	17200000	17250000	early	LUAD
chr1	17250000	17300000	early	LUAD
chr1	17900000	17950000	late	LUAD
chr1	17950000	1.8e+07	late	LUAD
chr1	1.8e+07	18050000	late	LUAD
chr1	18050000	18100000	late	LUAD
chr1	18100000	18150000	late	LUAD
chr1	18150000	18200000	late	LUAD
chr1	18200000	18250000	late	LUAD
chr1	18250000	18300000	late	LUAD
chr1	18300000	18350000	late	LUAD
chr1	18350000	18400000	late	LUAD
chr1	18400000	18450000	late	LUAD
chr1	18550000	18600000	earlier	LUAD
chr1	18600000	18650000	earlier	LUAD
chr1	18700000	18750000	early	LUAD
chr1	18750000	18800000	early	LUAD
chr1	18800000	18850000	early	LUAD
chr1	18850000	18900000	early	LUAD
chr1	18900000	18950000	early	LUAD
chr1	18950000	1.9e+07	early	LUAD
chr1	1.9e+07	19050000	early	LUAD
chr1	19050000	19100000	early	LUAD
chr1	19100000	19150000	early	LUAD
chr1	19150000	19200000	early	LUAD
chr1	19200000	19250000	early	LUAD
chr1	19250000	19300000	early	LUAD
chr1	19300000	19350000	early	LUAD
chr1	19350000	19400000	early	LUAD
chr1	19400000	19450000	early	LUAD
chr1	19450000	19500000	early	LUAD
chr1	19500000	19550000	early	LUAD
chr1	19550000	19600000	early	LUAD
chr1	19600000	19650000	early	LUAD
chr1	19650000	19700000	early	LUAD
chr1	19700000	19750000	early	LUAD
chr1	19750000	19800000	early	LUAD
chr1	19800000	19850000	early	LUAD
chr1	19850000	19900000	early	LUAD
chr1	2e+07	20050000	late	LUAD
chr1	20050000	20100000	earlier	LUAD
chr1	20100000	20150000	earlier	LUAD
chr1	20150000	20200000	earlier	LUAD
chr1	20200000	20250000	earlier	LUAD
chr1	20250000	20300000	earlier	LUAD
chr1	20350000	20400000	early	LUAD
chr1	20400000	20450000	early	LUAD
chr1	20450000	20500000	early	LUAD
chr1	20500000	20550000	early	LUAD
chr1	20550000	20600000	early	LUAD
chr1	20600000	20650000	early	LUAD
chr1	20650000	20700000	early	LUAD
chr1	20700000	20750000	early	LUAD
chr1	20750000	20800000	early	LUAD
chr1	20800000	20850000	early	LUAD
chr1	20850000	20900000	early	LUAD
chr1	20900000	20950000	early	LUAD
chr1	20950000	2.1e+07	early	LUAD
chr1	2.1e+07	21050000	early	LUAD
chr1	21050000	21100000	early	LUAD
chr1	21100000	21150000	early	LUAD
chr1	21150000	21200000	early	LUAD
chr1	21200000	21250000	early	LUAD
chr1	21250000	21300000	early	LUAD
chr1	21300000	21350000	early	LUAD
chr1	21350000	21400000	early	LUAD
chr1	21400000	21450000	early	LUAD
chr1	21450000	21500000	early	LUAD
chr1	21500000	21550000	early	LUAD
chr1	21550000	21600000	early	LUAD
chr1	21600000	21650000	early	LUAD
chr1	21650000	21700000	early	LUAD
chr1	21700000	21750000	early	LUAD
chr1	21750000	21800000	early	LUAD
chr1	21800000	21850000	early	LUAD
chr1	21850000	21900000	early	LUAD
chr1	21900000	21950000	early	LUAD
chr1	21950000	2.2e+07	early	LUAD
chr1	22050000	22100000	early	LUAD
chr1	22100000	22150000	early	LUAD
chr1	22150000	22200000	early	LUAD
chr1	22200000	22250000	early	LUAD
chr1	22250000	22300000	early	LUAD
chr1	22650000	22700000	early	LUAD
chr1	22700000	22750000	early	LUAD
chr1	22750000	22800000	early	LUAD
chr1	22800000	22850000	early	LUAD
chr1	22850000	22900000	early	LUAD
chr1	22900000	22950000	early	LUAD
chr1	22950000	2.3e+07	early	LUAD
chr1	2.3e+07	23050000	early	LUAD
chr1	23050000	23100000	early	LUAD
chr1	23100000	23150000	early	LUAD
chr1	23150000	23200000	early	LUAD
chr1	23200000	23250000	early	LUAD
chr1	23250000	23300000	early	LUAD
chr1	23300000	23350000	early	LUAD
chr1	23350000	23400000	early	LUAD
chr1	23400000	23450000	early	LUAD
chr1	23450000	23500000	early	LUAD
chr1	23650000	23700000	early	LUAD
chr1	23700000	23750000	early	LUAD
chr1	23750000	23800000	early	LUAD
chr1	23800000	23850000	early	LUAD
chr1	23850000	23900000	early	LUAD
chr1	23900000	23950000	early	LUAD
chr1	23950000	2.4e+07	early	LUAD
chr1	2.4e+07	24050000	early	LUAD
chr1	24050000	24100000	early	LUAD
chr1	24100000	24150000	early	LUAD
chr1	24150000	24200000	early	LUAD
chr1	24200000	24250000	early	LUAD
chr1	24250000	24300000	early	LUAD
chr1	24300000	24350000	early	LUAD
chr1	24350000	24400000	early	LUAD
chr1	24400000	24450000	early	LUAD
chr1	24450000	24500000	early	LUAD
chr1	24500000	24550000	early	LUAD
chr1	24550000	24600000	early	LUAD
chr1	24600000	24650000	early	LUAD
chr1	24650000	24700000	early	LUAD
chr1	24700000	24750000	early	LUAD
chr1	24750000	24800000	early	LUAD
chr1	24800000	24850000	early	LUAD
chr1	25050000	25100000	later	LUAD
chr1	25100000	25150000	early	LUAD
chr1	25150000	25200000	early	LUAD
chr1	25200000	25250000	early	LUAD
chr1	25250000	25300000	early	LUAD
chr1	25300000	25350000	early	LUAD
chr1	25350000	25400000	early	LUAD
chr1	25400000	25450000	early	LUAD
chr1	25450000	25500000	early	LUAD
chr1	25500000	25550000	early	LUAD
chr1	25550000	25600000	early	LUAD
chr1	25600000	25650000	early	LUAD
chr1	25650000	25700000	early	LUAD
chr1	25850000	25900000	early	LUAD
chr1	25900000	25950000	early	LUAD
chr1	25950000	2.6e+07	early	LUAD
chr1	2.6e+07	26050000	early	LUAD
chr1	26050000	26100000	early	LUAD
chr1	26100000	26150000	early	LUAD
chr1	26150000	26200000	early	LUAD
chr1	26200000	26250000	early	LUAD
chr1	26250000	26300000	early	LUAD
chr1	26300000	26350000	early	LUAD
chr1	26350000	26400000	early	LUAD
chr1	26400000	26450000	early	LUAD
chr1	26450000	26500000	early	LUAD
chr1	26500000	26550000	early	LUAD
chr1	26550000	26600000	early	LUAD
chr1	26600000	26650000	early	LUAD
chr1	26650000	26700000	early	LUAD
chr1	26700000	26750000	early	LUAD
chr1	26750000	26800000	early	LUAD
chr1	27050000	27100000	early	LUAD
chr1	27100000	27150000	early	LUAD
chr1	27150000	27200000	early	LUAD
chr1	27200000	27250000	early	LUAD
chr1	27250000	27300000	early	LUAD
chr1	27300000	27350000	early	LUAD
chr1	27350000	27400000	early	LUAD
chr1	27550000	27600000	early	LUAD
chr1	27600000	27650000	early	LUAD
chr1	27650000	27700000	early	LUAD
chr1	27700000	27750000	early	LUAD
chr1	27750000	27800000	early	LUAD
chr1	27800000	27850000	early	LUAD
chr1	27850000	27900000	early	LUAD
chr1	27900000	27950000	early	LUAD
chr1	27950000	2.8e+07	early	LUAD
chr1	2.8e+07	28050000	early	LUAD
chr1	28050000	28100000	early	LUAD
chr1	28100000	28150000	early	LUAD
chr1	28150000	28200000	early	LUAD
chr1	28200000	28250000	early	LUAD
chr1	28250000	28300000	early	LUAD
chr1	28400000	28450000	early	LUAD
chr1	28450000	28500000	early	LUAD
chr1	28500000	28550000	early	LUAD
chr1	28550000	28600000	early	LUAD
chr1	28600000	28650000	early	LUAD
chr1	28650000	28700000	early	LUAD
chr1	28700000	28750000	early	LUAD
chr1	28750000	28800000	early	LUAD
chr1	28800000	28850000	early	LUAD
chr1	28850000	28900000	early	LUAD
chr1	28900000	28950000	early	LUAD
chr1	28950000	2.9e+07	early	LUAD
chr1	2.9e+07	29050000	early	LUAD
chr1	29050000	29100000	early	LUAD
chr1	29100000	29150000	early	LUAD
chr1	29150000	29200000	early	LUAD
chr1	29200000	29250000	early	LUAD
chr1	29250000	29300000	early	LUAD
chr1	29300000	29350000	early	LUAD
chr1	29350000	29400000	early	LUAD
chr1	29400000	29450000	early	LUAD
chr1	29450000	29500000	late	LUAD
chr1	29500000	29550000	late	LUAD
chr1	29550000	29600000	late	LUAD
chr1	29600000	29650000	late	LUAD
chr1	29650000	29700000	late	LUAD
chr1	29700000	29750000	late	LUAD
chr1	29750000	29800000	late	LUAD
chr1	29800000	29850000	late	LUAD
chr1	29850000	29900000	late	LUAD
chr1	29900000	29950000	late	LUAD
chr1	29950000	3e+07	late	LUAD
chr1	3e+07	30050000	late	LUAD
chr1	30050000	30100000	late	LUAD
chr1	30100000	30150000	late	LUAD
chr1	30150000	30200000	late	LUAD
chr1	30200000	30250000	late	LUAD
chr1	30250000	30300000	late	LUAD
chr1	30300000	30350000	late	LUAD
chr1	30450000	30500000	late	LUAD
chr1	30500000	30550000	late	LUAD
chr1	30550000	30600000	late	LUAD
chr1	30600000	30650000	early	LUAD
chr1	30650000	30700000	early	LUAD
chr1	30700000	30750000	early	LUAD
chr1	30750000	30800000	early	LUAD
chr1	30800000	30850000	early	LUAD
chr1	30850000	30900000	early	LUAD
chr1	30900000	30950000	early	LUAD
chr1	30950000	3.1e+07	early	LUAD
chr1	3.1e+07	31050000	early	LUAD
chr1	31050000	31100000	early	LUAD
chr1	31100000	31150000	early	LUAD
chr1	31150000	31200000	early	LUAD
chr1	31200000	31250000	early	LUAD
chr1	31250000	31300000	early	LUAD
chr1	31300000	31350000	early	LUAD
chr1	31350000	31400000	early	LUAD
chr1	31400000	31450000	early	LUAD
chr1	31450000	31500000	early	LUAD
chr1	31500000	31550000	early	LUAD
chr1	31550000	31600000	early	LUAD
chr1	31600000	31650000	early	LUAD
chr1	31750000	31800000	early	LUAD
chr1	31800000	31850000	early	LUAD
chr1	31850000	31900000	early	LUAD
chr1	31900000	31950000	early	LUAD
chr1	31950000	3.2e+07	early	LUAD
chr1	3.2e+07	32050000	early	LUAD
chr1	32050000	32100000	early	LUAD
chr1	32100000	32150000	early	LUAD
chr1	32150000	32200000	early	LUAD
chr1	32200000	32250000	early	LUAD
chr1	32250000	32300000	early	LUAD
chr1	32300000	32350000	early	LUAD
chr1	32350000	32400000	early	LUAD
chr1	32400000	32450000	early	LUAD
chr1	32450000	32500000	early	LUAD
chr1	32500000	32550000	early	LUAD
chr1	32550000	32600000	early	LUAD
chr1	32600000	32650000	early	LUAD
chr1	32650000	32700000	early	LUAD
chr1	32900000	32950000	early	LUAD
chr1	32950000	3.3e+07	early	LUAD
chr1	3.3e+07	33050000	early	LUAD
chr1	33050000	33100000	early	LUAD
chr1	33100000	33150000	early	LUAD
chr1	33150000	33200000	early	LUAD
chr1	33200000	33250000	early	LUAD
chr1	33250000	33300000	early	LUAD
chr1	33300000	33350000	early	LUAD
chr1	33350000	33400000	early	LUAD
chr1	33400000	33450000	early	LUAD
chr1	33450000	33500000	early	LUAD
chr1	33500000	33550000	early	LUAD
chr1	33650000	33700000	late	LUAD
chr1	33700000	33750000	late	LUAD
chr1	33750000	33800000	late	LUAD
chr1	33800000	33850000	late	LUAD
chr1	33850000	33900000	late	LUAD
chr1	33900000	33950000	late	LUAD
chr1	33950000	3.4e+07	late	LUAD
chr1	3.4e+07	34050000	late	LUAD
chr1	34050000	34100000	late	LUAD
chr1	34100000	34150000	late	LUAD
chr1	34150000	34200000	late	LUAD
chr1	34200000	34250000	late	LUAD
chr1	34250000	34300000	late	LUAD
chr1	34300000	34350000	late	LUAD
chr1	34350000	34400000	late	LUAD
chr1	34400000	34450000	late	LUAD
chr1	34450000	34500000	late	LUAD
chr1	34500000	34550000	late	LUAD
chr1	34550000	34600000	late	LUAD
chr1	34600000	34650000	late	LUAD
chr1	34950000	3.5e+07	late	LUAD
chr1	35450000	35500000	early	LUAD
chr1	35500000	35550000	early	LUAD
chr1	35550000	35600000	early	LUAD
chr1	35600000	35650000	early	LUAD
chr1	35650000	35700000	early	LUAD
chr1	35700000	35750000	early	LUAD
chr1	35750000	35800000	early	LUAD
chr1	35800000	35850000	early	LUAD
chr1	35850000	35900000	early	LUAD
chr1	35900000	35950000	early	LUAD
chr1	35950000	3.6e+07	early	LUAD
chr1	3.6e+07	36050000	early	LUAD
chr1	36050000	36100000	early	LUAD
chr1	36100000	36150000	early	LUAD
chr1	36150000	36200000	early	LUAD
chr1	36200000	36250000	early	LUAD
chr1	36250000	36300000	early	LUAD
chr1	36300000	36350000	early	LUAD
chr1	36350000	36400000	early	LUAD
chr1	36400000	36450000	early	LUAD
chr1	36450000	36500000	early	LUAD
chr1	36500000	36550000	early	LUAD
chr1	36550000	36600000	early	LUAD
chr1	36600000	36650000	early	LUAD
chr1	36650000	36700000	early	LUAD
chr1	36700000	36750000	late	LUAD
chr1	36750000	36800000	late	LUAD
chr1	36800000	36850000	late	LUAD
chr1	36850000	36900000	late	LUAD
chr1	36900000	36950000	late	LUAD
chr1	36950000	3.7e+07	late	LUAD
chr1	3.7e+07	37050000	late	LUAD
chr1	37050000	37100000	late	LUAD
chr1	37100000	37150000	late	LUAD
chr1	37150000	37200000	late	LUAD
chr1	37200000	37250000	late	LUAD
chr1	37250000	37300000	late	LUAD
chr1	37300000	37350000	early	LUAD
chr1	37350000	37400000	early	LUAD
chr1	37400000	37450000	early	LUAD
chr1	37450000	37500000	early	LUAD
chr1	37500000	37550000	early	LUAD
chr1	37550000	37600000	early	LUAD
chr1	37600000	37650000	early	LUAD
chr1	37650000	37700000	early	LUAD
chr1	37700000	37750000	early	LUAD
chr1	37750000	37800000	early	LUAD
chr1	37800000	37850000	early	LUAD
chr1	37850000	37900000	early	LUAD
chr1	37900000	37950000	early	LUAD
chr1	37950000	3.8e+07	early	LUAD
chr1	3.8e+07	38050000	early	LUAD
chr1	38050000	38100000	early	LUAD
chr1	38100000	38150000	early	LUAD
chr1	38150000	38200000	early	LUAD
chr1	38200000	38250000	early	LUAD
chr1	38250000	38300000	late	LUAD
chr1	38300000	38350000	late	LUAD
chr1	38350000	38400000	late	LUAD
chr1	38400000	38450000	late	LUAD
chr1	38450000	38500000	late	LUAD
chr1	38500000	38550000	late	LUAD
chr1	38550000	38600000	late	LUAD
chr1	38600000	38650000	late	LUAD
chr1	38650000	38700000	late	LUAD
chr1	38700000	38750000	early	LUAD
chr1	38750000	38800000	early	LUAD
chr1	38950000	3.9e+07	early	LUAD
chr1	3.9e+07	39050000	early	LUAD
chr1	39050000	39100000	early	LUAD
chr1	39100000	39150000	early	LUAD
chr1	39150000	39200000	early	LUAD
chr1	39200000	39250000	early	LUAD
chr1	39250000	39300000	early	LUAD
chr1	39300000	39350000	early	LUAD
chr1	39350000	39400000	early	LUAD
chr1	39400000	39450000	early	LUAD
chr1	39450000	39500000	early	LUAD
chr1	39500000	39550000	early	LUAD
chr1	39550000	39600000	early	LUAD
chr1	39600000	39650000	early	LUAD
chr1	39750000	39800000	early	LUAD
chr1	39800000	39850000	early	LUAD
chr1	39850000	39900000	early	LUAD
chr1	39900000	39950000	early	LUAD
chr1	39950000	4e+07	early	LUAD
chr1	4e+07	40050000	early	LUAD
chr1	40050000	40100000	early	LUAD
chr1	40100000	40150000	early	LUAD
chr1	40150000	40200000	early	LUAD
chr1	40200000	40250000	early	LUAD
chr1	40250000	40300000	early	LUAD
chr1	40300000	40350000	early	LUAD
chr1	40350000	40400000	early	LUAD
chr1	40400000	40450000	early	LUAD
chr1	40450000	40500000	early	LUAD
chr1	40500000	40550000	early	LUAD
chr1	40550000	40600000	early	LUAD
chr1	40600000	40650000	early	LUAD
chr1	40650000	40700000	early	LUAD
chr1	40700000	40750000	early	LUAD
chr1	40750000	40800000	early	LUAD
chr1	40800000	40850000	early	LUAD
chr1	40850000	40900000	early	LUAD
chr1	40900000	40950000	early	LUAD
chr1	40950000	4.1e+07	early	LUAD
chr1	4.1e+07	41050000	early	LUAD
chr1	41050000	41100000	early	LUAD
chr1	41100000	41150000	early	LUAD
chr1	41150000	41200000	early	LUAD
chr1	41200000	41250000	early	LUAD
chr1	41250000	41300000	early	LUAD
chr1	41300000	41350000	early	LUAD
chr1	41350000	41400000	early	LUAD
chr1	41400000	41450000	early	LUAD
chr1	41450000	41500000	early	LUAD
chr1	41500000	41550000	early	LUAD
chr1	41550000	41600000	early	LUAD
chr1	41600000	41650000	early	LUAD
chr1	41800000	41850000	early	LUAD
chr1	41850000	41900000	early	LUAD
chr1	41900000	41950000	early	LUAD
chr1	41950000	4.2e+07	early	LUAD
chr1	4.2e+07	42050000	early	LUAD
chr1	42050000	42100000	early	LUAD
chr1	42150000	42200000	earlier	LUAD
chr1	42650000	42700000	early	LUAD
chr1	42700000	42750000	early	LUAD
chr1	42750000	42800000	early	LUAD
chr1	42800000	42850000	early	LUAD
chr1	42850000	42900000	early	LUAD
chr1	42900000	42950000	early	LUAD
chr1	42950000	4.3e+07	early	LUAD
chr1	43150000	43200000	early	LUAD
chr1	43200000	43250000	early	LUAD
chr1	43250000	43300000	early	LUAD
chr1	43300000	43350000	early	LUAD
chr1	43350000	43400000	early	LUAD
chr1	43400000	43450000	early	LUAD
chr1	43450000	43500000	early	LUAD
chr1	43500000	43550000	early	LUAD
chr1	43550000	43600000	early	LUAD
chr1	43600000	43650000	early	LUAD
chr1	43650000	43700000	early	LUAD
chr1	43700000	43750000	early	LUAD
chr1	43750000	43800000	early	LUAD
chr1	43800000	43850000	early	LUAD
chr1	43850000	43900000	early	LUAD
chr1	43900000	43950000	early	LUAD
chr1	43950000	4.4e+07	early	LUAD
chr1	4.4e+07	44050000	early	LUAD
chr1	44050000	44100000	early	LUAD
chr1	44100000	44150000	early	LUAD
chr1	44150000	44200000	early	LUAD
chr1	44200000	44250000	early	LUAD
chr1	44250000	44300000	early	LUAD
chr1	44300000	44350000	early	LUAD
chr1	44350000	44400000	early	LUAD
chr1	44400000	44450000	early	LUAD
chr1	44450000	44500000	early	LUAD
chr1	44500000	44550000	early	LUAD
chr1	44550000	44600000	early	LUAD
chr1	44600000	44650000	early	LUAD
chr1	44650000	44700000	early	LUAD
chr1	44800000	44850000	early	LUAD
chr1	44850000	44900000	early	LUAD
chr1	44900000	44950000	early	LUAD
chr1	44950000	4.5e+07	early	LUAD
chr1	4.5e+07	45050000	early	LUAD
chr1	45050000	45100000	early	LUAD
chr1	45300000	45350000	early	LUAD
chr1	45350000	45400000	early	LUAD
chr1	45400000	45450000	early	LUAD
chr1	45450000	45500000	early	LUAD
chr1	45500000	45550000	early	LUAD
chr1	45550000	45600000	early	LUAD
chr1	45600000	45650000	early	LUAD
chr1	45650000	45700000	early	LUAD
chr1	45700000	45750000	early	LUAD
chr1	45750000	45800000	early	LUAD
chr1	45800000	45850000	early	LUAD
chr1	45850000	45900000	early	LUAD
chr1	45900000	45950000	early	LUAD
chr1	45950000	4.6e+07	early	LUAD
chr1	4.6e+07	46050000	early	LUAD
chr1	46050000	46100000	early	LUAD
chr1	46100000	46150000	early	LUAD
