gene_name	chr	start	stop	timing	cancerType
SPSB1	chr1	9352941	9429590	early	BRCA
SLC25A33	chr1	9599528	9642831	early	BRCA
TMEM201	chr1	9648932	9674935	early	BRCA
PIK3CD	chr1	9711790	9789172	early	BRCA
PIK3CD-AS1	chr1	9712668	9714644	early	BRCA
CLSTN1	chr1	9789079	9884550	early	BRCA
CTNNBIP1	chr1	9908334	9970316	early	BRCA
LZIC	chr1	9989776	10003427	early	BRCA
NMNAT1	chr1	10003486	10045556	early	BRCA
RBP7	chr1	10057255	10076078	early	BRCA
UBE4B	chr1	10093041	10241296	early	BRCA
KIF1B	chr1	10270764	10441661	early	BRCA
PGD	chr1	10459085	10480201	early	BRCA
CENPS-CORT	chr1	10490159	10512060	early	BRCA
CENPS	chr1	10490159	10502872	early	BRCA
CORT	chr1	10509776	10512060	early	BRCA
DFFA	chr1	10520603	10532613	early	BRCA
PEX14	chr1	10535003	10690815	early	BRCA
CASZ1	chr1	10696666	10856733	early	BRCA
C1orf127	chr1	11006530	11042094	early	BRCA
TARDBP	chr1	11072679	11085549	early	BRCA
MASP2	chr1	11086580	11107296	early	BRCA
SRM	chr1	11114649	11120091	early	BRCA
EXOSC10	chr1	11126676	11159938	early	BRCA
MTOR	chr1	11166588	11322608	early	BRCA
MTOR-AS1	chr1	11203955	11209595	early	BRCA
ANGPTL7	chr1	11249346	11256038	early	BRCA
UBIAD1	chr1	11333255	11348491	early	BRCA
DISP3	chr1	11539295	11597640	early	BRCA
FBXO2	chr1	11708418	11714888	early	BRCA
FBXO44	chr1	11714432	11723384	early	BRCA
FBXO6	chr1	11724150	11734409	early	BRCA
MAD2L2	chr1	11734537	11751678	early	BRCA
DRAXIN	chr1	11751781	11780336	early	BRCA
AGTRAP	chr1	11796142	11810828	early	BRCA
MTHFR	chr1	11845787	11866160	early	BRCA
CLCN6	chr1	11866153	11903201	early	BRCA
NPPA-AS1	chr1	11900376	11907674	early	BRCA
NPPA	chr1	11905767	11907840	early	BRCA
NPPB	chr1	11917521	11918992	early	BRCA
KIAA2013	chr1	11979645	11986485	early	BRCA
PLOD1	chr1	11994724	12035599	early	BRCA
MFN2	chr1	12040238	12073572	early	BRCA
MIIP	chr1	12079299	12092106	early	BRCA
TNFRSF8	chr1	12123434	12204264	early	BRCA
TNFRSF1B	chr1	12227060	12269277	early	BRCA
VPS13D	chr1	12290113	12572098	early	BRCA
DHRS3	chr1	12627939	12677820	early	BRCA
AADACL4	chr1	12704566	12727097	early	BRCA
AADACL3	chr1	12776118	12788726	early	BRCA
C1orf158	chr1	12806163	12821102	early	BRCA
PRAMEF12	chr1	12834984	12838048	early	BRCA
PRAMEF1	chr1	12851546	12856777	late	BRCA
PRAMEF11	chr1	12884468	12891264	late	BRCA
HNRNPCL3	chr1	12907236	12908237	late	BRCA
HNRNPCL1	chr1	12907261	12908578	late	BRCA
PRAMEF2	chr1	12916941	12921764	late	BRCA
PRAMEF4	chr1	12939033	12946025	late	BRCA
LRRC38	chr1	13801445	13840242	late	BRCA
KAZN	chr1	14925213	15444544	early	BRCA
TMEM51-AS1	chr1	15438311	15478960	early	BRCA
TMEM51	chr1	15479028	15546974	early	BRCA
FHAD1	chr1	15573768	15726778	early	BRCA
EFHD2	chr1	15736391	15756839	early	BRCA
CTRC	chr1	15764938	15773153	early	BRCA
CELA2A	chr1	15783223	15798586	early	BRCA
CELA2B	chr1	15802596	15817895	early	BRCA
CASP9	chr1	15817324	15851285	early	BRCA
DNAJC16	chr1	15853352	15918874	early	BRCA
AGMAT	chr1	15898194	15911605	early	BRCA
DDI2	chr1	15943953	15987552	early	BRCA
PLEKHM2	chr1	16010827	16061264	early	BRCA
SLC25A34	chr1	16062809	16067884	early	BRCA
TMEM82	chr1	16068987	16074292	early	BRCA
FBLIM1	chr1	16083154	16113084	early	BRCA
SRARP	chr1	16330731	16333184	early	BRCA
HSPB7	chr1	16340523	16346089	early	BRCA
CLCNKA	chr1	16345370	16360545	early	BRCA
CLCNKB	chr1	16355621	16383821	early	BRCA
FAM131C	chr1	16384264	16400127	early	BRCA
EPHA2	chr1	16450832	16482582	early	BRCA
ARHGEF19	chr1	16524599	16539104	early	BRCA
CPLANE2	chr1	16558182	16563659	early	BRCA
FBXO42	chr1	16576559	16678948	early	BRCA
SZRD1	chr1	16693525	16724643	early	BRCA
SPATA21	chr1	16722176	16763919	early	BRCA
NECAP2	chr1	16767167	16786584	early	BRCA
CROCCP3	chr1	16793931	16819196	early	BRCA
NBPF1	chr1	16888922	16940100	early	BRCA
CROCCP2	chr1	16944751	16971178	early	BRCA
MST1P2	chr1	16972069	16976915	early	BRCA
ESPNP	chr1	17017713	17046652	early	BRCA
CROCC	chr1	17066768	17299474	early	BRCA
MST1L	chr1	17081129	17090975	early	BRCA
MFAP2	chr1	17300999	17308081	early	BRCA
ATP13A2	chr1	17312453	17338423	early	BRCA
SDHB	chr1	17345225	17380665	early	BRCA
PADI2	chr1	17393256	17445948	early	BRCA
PADI1	chr1	17531621	17572501	early	BRCA
PADI3	chr1	17575593	17610727	early	BRCA
PADI4	chr1	17634690	17690495	early	BRCA
PADI6	chr1	17698741	17728195	early	BRCA
RCC2	chr1	17733251	17766250	early	BRCA
IGSF21	chr1	18434240	18704977	late	BRCA
PAX7	chr1	18957500	19075360	early	BRCA
TAS1R2	chr1	19166093	19186155	early	BRCA
ALDH4A1	chr1	19197924	19229293	early	BRCA
IFFO2	chr1	19230774	19282826	early	BRCA
UBR4	chr1	19401000	19536746	early	BRCA
EMC1	chr1	19542158	19578053	early	BRCA
MRTO4	chr1	19578075	19586622	early	BRCA
AKR7L	chr1	19592476	19600568	early	BRCA
AKR7A3	chr1	19609057	19615280	early	BRCA
LOC100506730	chr1	19619741	19622230	early	BRCA
AKR7A2	chr1	19629202	19638640	early	BRCA
SLC66A1	chr1	19638740	19658922	early	BRCA
CAPZB	chr1	19665267	19812066	early	BRCA
MICOS10-NBL1	chr1	19923471	19984949	early	BRCA
MICOS10	chr1	19923471	19956315	early	BRCA
NBL1	chr1	19969723	19984949	early	BRCA
HTR6	chr1	19991780	20006055	early	BRCA
TMCO4	chr1	20008706	20126758	early	BRCA
OTUD3	chr1	20208888	20239437	early	BRCA
PLA2G2E	chr1	20246800	20250110	early	BRCA
PLA2G2A	chr1	20301924	20306932	early	BRCA
PLA2G5	chr1	20354672	20418394	early	BRCA
PLA2G2D	chr1	20439143	20446059	early	BRCA
PLA2G2F	chr1	20465823	20476879	early	BRCA
PLA2G2C	chr1	20490484	20501687	early	BRCA
UBXN10	chr1	20512578	20519942	early	BRCA
VWA5B1	chr1	20617412	20681387	early	BRCA
LINC01141	chr1	20686294	20755287	early	BRCA
MUL1	chr1	20825941	20834674	early	BRCA
FAM43B	chr1	20878932	20881513	early	BRCA
CDA	chr1	20915444	20945400	early	BRCA
PINK1	chr1	20959948	20978004	early	BRCA
DDOST	chr1	20978260	20988037	early	BRCA
KIF17	chr1	20990507	21044317	early	BRCA
SH2D5	chr1	21046225	21059330	early	BRCA
HP1BP3	chr1	21069171	21113799	early	BRCA
EIF4G3	chr1	21132785	21503381	early	BRCA
ECE1	chr1	21543740	21672034	early	BRCA
ECE1-AS1	chr1	21619783	21626362	early	BRCA
NBPF3	chr1	21766583	21811393	early	BRCA
ALPL	chr1	21835858	21904905	early	BRCA
RAP1GAP	chr1	21922708	21995856	early	BRCA
USP48	chr1	22004792	22109688	early	BRCA
LDLRAD2	chr1	22138758	22151714	early	BRCA
HSPG2	chr1	22148737	22263750	early	BRCA
LINC00339	chr1	22351707	22357715	early	BRCA
CDC42	chr1	22379120	22419436	early	BRCA
WNT4	chr1	22443798	22470385	early	BRCA
ZBTB40	chr1	22778344	22857650	early	BRCA
EPHA8	chr1	22890004	22930087	early	BRCA
C1QC	chr1	22970118	22974603	early	BRCA
C1QB	chr1	22979682	22988029	early	BRCA
EPHB2	chr1	23037331	23241823	early	BRCA
MIR4684	chr1	23046010	23046091	early	BRCA
TEX46	chr1	23337327	23342343	early	BRCA
KDM1A	chr1	23345941	23410184	early	BRCA
LUZP1	chr1	23410516	23504301	early	BRCA
HTR1D	chr1	23518388	23521222	early	BRCA
HNRNPR	chr1	23636276	23670853	early	BRCA
ZNF436	chr1	23685941	23696357	early	BRCA
ZNF436-AS1	chr1	23695464	23698330	early	BRCA
TCEA3	chr1	23707555	23751261	early	BRCA
ASAP3	chr1	23755056	23811057	early	BRCA
E2F2	chr1	23832920	23857712	early	BRCA
ID3	chr1	23884421	23886285	early	BRCA
MDS2	chr1	23907985	23967056	early	BRCA
RPL11	chr1	24018269	24022915	early	BRCA
ELOA	chr1	24069856	24088549	early	BRCA
ELOA-AS1	chr1	24086872	24104787	early	BRCA
PITHD1	chr1	24104876	24114722	early	BRCA
LYPLA2	chr1	24117646	24122029	early	BRCA
GALE	chr1	24122089	24127294	early	BRCA
HMGCL	chr1	24128367	24165110	early	BRCA
FUCA1	chr1	24171572	24194859	early	BRCA
CNR2	chr1	24200460	24239817	early	BRCA
MYOM3	chr1	24382531	24438665	early	BRCA
IL22RA1	chr1	24446261	24469775	early	BRCA
IFNLR1	chr1	24480647	24513765	early	BRCA
LINC02800	chr1	24526730	24538180	early	BRCA
GRHL3	chr1	24645812	24690970	early	BRCA
STPG1	chr1	24683489	24741587	early	BRCA
NIPAL3	chr1	24742245	24799473	early	BRCA
RCAN3AS	chr1	24822823	24828850	early	BRCA
RCAN3	chr1	24828841	24863510	early	BRCA
NCMAP	chr1	24882567	24935818	early	BRCA
SRRM1	chr1	24969594	24999772	early	BRCA
CLIC4	chr1	25071760	25170815	early	BRCA
RUNX3	chr1	25226002	25291612	early	BRCA
SYF2	chr1	25548767	25559013	early	BRCA
RSRP1	chr1	25568740	25664656	early	BRCA
RHD	chr1	25598981	25656936	early	BRCA
TMEM50A	chr1	25664789	25688852	early	BRCA
RHCE	chr1	25688740	25756683	early	BRCA
MACO1	chr1	25757388	25826698	early	BRCA
LDLRAP1	chr1	25870076	25895377	early	BRCA
MAN1C1	chr1	25943959	26111258	early	BRCA
SELENON	chr1	26126667	26144713	early	BRCA
MTFR1L	chr1	26146397	26159433	early	BRCA
LOC646471	chr1	26146445	26150097	early	BRCA
AUNIP	chr1	26160497	26185848	early	BRCA
PAQR7	chr1	26187975	26197744	early	BRCA
STMN1	chr1	26210677	26233368	early	BRCA
PAFAH2	chr1	26286258	26324648	early	BRCA
EXTL1	chr1	26348271	26362954	early	BRCA
SLC30A2	chr1	26364514	26372604	early	BRCA
TRIM63	chr1	26377796	26394125	early	BRCA
PDIK1L	chr1	26437656	26452039	early	BRCA
ZNF593	chr1	26496388	26497364	early	BRCA
CNKSR1	chr1	26503981	26516375	early	BRCA
CATSPER4	chr1	26517119	26529033	early	BRCA
CEP85	chr1	26560693	26605299	early	BRCA
SH3BGRL3	chr1	26606213	26608013	early	BRCA
UBXN11	chr1	26608773	26644756	early	BRCA
CD52	chr1	26644411	26647014	early	BRCA
CRYBG2	chr1	26648350	26680621	early	BRCA
ZNF683	chr1	26688125	26699266	early	BRCA
LIN28A	chr1	26737269	26756219	early	BRCA
DHDDS	chr1	26758773	26797795	early	BRCA
HMGN2	chr1	26798902	26803133	early	BRCA
RPS6KA1	chr1	26856249	26901520	early	BRCA
ARID1A	chr1	27022522	27108601	early	BRCA
PIGV	chr1	27114454	27124894	early	BRCA
ZDHHC18	chr1	27153201	27182211	early	BRCA
GPN2	chr1	27205873	27216869	early	BRCA
GPATCH3	chr1	27216979	27226962	early	BRCA
NR0B2	chr1	27237975	27240567	early	BRCA
NUDC	chr1	27248213	27273362	early	BRCA
KDF1	chr1	27276047	27286901	early	BRCA
TRNP1	chr1	27320195	27327377	early	BRCA
TENT5B	chr1	27331511	27339333	early	BRCA
SLC9A1	chr1	27425300	27481621	early	BRCA
WDTC1	chr1	27561007	27635124	early	BRCA
TMEM222	chr1	27648636	27662891	early	BRCA
SYTL1	chr1	27668483	27680423	early	BRCA
MAP3K6	chr1	27681670	27693337	early	BRCA
FCN3	chr1	27695601	27701315	early	BRCA
CD164L2	chr1	27705596	27709805	early	BRCA
WASF2	chr1	27730734	27816678	early	BRCA
AHDC1	chr1	27860756	27930361	early	BRCA
FGR	chr1	27938801	27961727	early	BRCA
IFI6	chr1	27992572	27998724	early	BRCA
FAM76A	chr1	28052490	28089423	early	BRCA
STX12	chr1	28099694	28150963	early	BRCA
PPP1R8	chr1	28157252	28178183	early	BRCA
THEMIS2	chr1	28199055	28213193	early	BRCA
RPA2	chr1	28218049	28241236	early	BRCA
SMPDL3B	chr1	28261504	28285663	early	BRCA
XKR8	chr1	28286504	28294604	early	BRCA
EYA3	chr1	28296855	28415148	early	BRCA
PTAFR	chr1	28473677	28520447	early	BRCA
DNAJC8	chr1	28526790	28559542	early	BRCA
ATP5IF1	chr1	28562602	28564616	early	BRCA
SESN2	chr1	28585963	28609002	early	BRCA
MED18	chr1	28655513	28662478	early	BRCA
PHACTR4	chr1	28696093	28826881	early	BRCA
RCC1	chr1	28832455	28865708	early	BRCA
SNHG3	chr1	28832455	28837404	early	BRCA
TRNAU1AP	chr1	28879529	28905057	early	BRCA
SNHG12	chr1	28905050	28908383	early	BRCA
SNORD99	chr1	28905255	28905334	early	BRCA
RAB42	chr1	28918712	28921088	early	BRCA
TAF12	chr1	28929609	28969604	early	BRCA
RNU11	chr1	28975112	28975246	early	BRCA
GMEB1	chr1	28995240	29042115	early	BRCA
YTHDF2	chr1	29063133	29096287	early	BRCA
OPRD1	chr1	29138654	29190208	early	BRCA
EPB41	chr1	29213603	29446558	early	BRCA
TMEM200B	chr1	29445937	29450421	early	BRCA
SRSF4	chr1	29474250	29508637	early	BRCA
MECR	chr1	29519385	29557454	early	BRCA
MATN1	chr1	31184124	31196432	early	BRCA
MATN1-AS1	chr1	31191619	31199593	early	BRCA
LAPTM5	chr1	31205315	31230683	early	BRCA
SDC3	chr1	31342313	31381480	early	BRCA
PUM1	chr1	31404353	31538763	early	BRCA
SNORD103A	chr1	31408536	31422052	early	BRCA
NKAIN1	chr1	31652592	31712734	early	BRCA
SNRNP40	chr1	31732415	31769644	early	BRCA
ZCCHC17	chr1	31769842	31837780	early	BRCA
FABP3	chr1	31838100	31845923	early	BRCA
SERINC2	chr1	31882412	31907527	early	BRCA
LDC1P	chr1	31971839	31974167	early	BRCA
TINAGL1	chr1	32042086	32053287	early	BRCA
HCRTR1	chr1	32083301	32098119	early	BRCA
PEF1	chr1	32095463	32110838	early	BRCA
COL16A1	chr1	32117848	32169768	early	BRCA
ADGRB2	chr1	32192718	32229648	early	BRCA
SPOCD1	chr1	32256025	32281580	early	BRCA
PTP4A2	chr1	32372022	32403988	early	BRCA
KHDRBS1	chr1	32479295	32526460	early	BRCA
TMEM39B	chr1	32538503	32568467	early	BRCA
KPNA6	chr1	32573644	32642168	early	BRCA
TXLNA	chr1	32645345	32663886	early	BRCA
CCDC28B	chr1	32666202	32670991	early	BRCA
IQCC	chr1	32671236	32674288	early	BRCA
DCDC2B	chr1	32674695	32681797	early	BRCA
TMEM234	chr1	32680078	32687926	early	BRCA
EIF3I	chr1	32687185	32697205	early	BRCA
MTMR9LP	chr1	32697261	32707311	early	BRCA
FAM167B	chr1	32712818	32714461	early	BRCA
LCK	chr1	32716840	32751766	early	BRCA
HDAC1	chr1	32757708	32799224	early	BRCA
MARCKSL1	chr1	32799430	32801840	early	BRCA
TSSK3	chr1	32827862	32829924	early	BRCA
BSDC1	chr1	32830705	32860062	early	BRCA
ZBTB8OS	chr1	33065773	33116185	early	BRCA
RBBP4	chr1	33116749	33151812	early	BRCA
SYNC	chr1	33145507	33168361	early	BRCA
KIAA1522	chr1	33207512	33240571	early	BRCA
YARS1	chr1	33240840	33283633	early	BRCA
S100PBP	chr1	33283043	33324480	early	BRCA
FNDC5	chr1	33327869	33338082	early	BRCA
HPCA	chr1	33352098	33360247	early	BRCA
TMEM54	chr1	33360196	33366953	early	BRCA
RNF19B	chr1	33402050	33430286	early	BRCA
AK2	chr1	33473541	33502512	early	BRCA
AZIN2	chr1	33546714	33586131	early	BRCA
TRIM62	chr1	33611003	33647671	early	BRCA
ZNF362	chr1	33722174	33766320	early	BRCA
A3GALT2	chr1	33772367	33786699	early	BRCA
PHC2	chr1	33789224	33896615	early	BRCA
MIR3605	chr1	33797994	33798093	early	BRCA
ZSCAN20	chr1	33938232	33961995	early	BRCA
CSMD2	chr1	33979609	34631443	later	BRCA
HMGB4	chr1	34326076	34330392	later	BRCA
CSMD2-AS1	chr1	34334557	34351059	later	BRCA
SMIM12	chr1	35315963	35325417	early	BRCA
DLGAP3	chr1	35331037	35370984	early	BRCA
LOC653160	chr1	35441300	35450948	early	BRCA
TMEM35B	chr1	35447127	35450948	early	BRCA
ZMYM6	chr1	35449368	35497569	early	BRCA
ZMYM1	chr1	35544972	35581455	early	BRCA
SFPQ	chr1	35649201	35658743	early	BRCA
ZMYM4	chr1	35734568	35887545	early	BRCA
KIAA0319L	chr1	35899091	36023551	early	BRCA
NCDN	chr1	36023393	36032380	early	BRCA
PSMB2	chr1	36035413	36107445	early	BRCA
TFAP2E	chr1	36038971	36060927	early	BRCA
C1orf216	chr1	36179477	36184790	early	BRCA
CLSPN	chr1	36197713	36235551	early	BRCA
AGO4	chr1	36273828	36323490	early	BRCA
AGO1	chr1	36335409	36389899	early	BRCA
AGO3	chr1	36396319	36522063	early	BRCA
ADPRHL2	chr1	36554453	36559533	early	BRCA
COL8A2	chr1	36560844	36565850	early	BRCA
TRAPPC3	chr1	36602170	36621654	early	BRCA
MAP7D1	chr1	36621803	36646441	early	BRCA
THRAP3	chr1	36690017	36770957	early	BRCA
SH3D21	chr1	36771994	36790484	early	BRCA
EVA1B	chr1	36787632	36789755	early	BRCA
STK40	chr1	36805225	36851485	early	BRCA
LSM10	chr1	36859031	36863493	early	BRCA
OSCP1	chr1	36883507	36916086	early	BRCA
MRPS15	chr1	36921362	36930040	early	BRCA
CSF3R	chr1	36931644	36948915	early	BRCA
GRIK3	chr1	37261128	37499844	early	BRCA
LINC01137	chr1	37920480	37940044	early	BRCA
ZC3H12A	chr1	37940119	37949978	early	BRCA
MEAF6	chr1	37955561	37980420	early	BRCA
SNIP1	chr1	38000050	38019945	early	BRCA
DNALI1	chr1	38022520	38032458	early	BRCA
GNL2	chr1	38032413	38061586	early	BRCA
RSPO1	chr1	38076951	38100595	early	BRCA
C1orf109	chr1	38147242	38157888	early	BRCA
CDCA8	chr1	38158073	38175391	early	BRCA
EPHA10	chr1	38179553	38230824	early	BRCA
MANEAL	chr1	38259774	38267278	early	BRCA
YRDC	chr1	38268614	38273865	early	BRCA
MTF1	chr1	38275239	38325292	early	BRCA
INPP5B	chr1	38326369	38412729	early	BRCA
SF3A3	chr1	38422652	38455761	early	BRCA
FHL3	chr1	38462442	38471187	early	BRCA
UTP11	chr1	38478384	38490497	early	BRCA
MIR3659	chr1	38554903	38555001	early	BRCA
LINC01343	chr1	38674706	38680439	early	BRCA
RRAGC	chr1	39303869	39340166	early	BRCA
GJA9-MYCBP	chr1	39328162	39347298	early	BRCA
MYCBP	chr1	39328162	39339050	early	BRCA
RHBDL2	chr1	39351479	39407456	early	BRCA
AKIRIN1	chr1	39456916	39471737	early	BRCA
NDUFS5	chr1	39491967	39500308	early	BRCA
MACF1	chr1	39547089	39952810	early	BRCA
KIAA0754	chr1	39875176	39882154	early	BRCA
BMP8A	chr1	39957318	39995541	early	BRCA
PPIEL	chr1	39987952	40025370	early	BRCA
PABPC4	chr1	40026485	40042521	early	BRCA
HEYL	chr1	40089103	40105348	early	BRCA
NT5C1A	chr1	40124793	40137710	early	BRCA
HPCAL4	chr1	40144645	40157089	early	BRCA
PPIE	chr1	40204517	40229586	early	BRCA
BMP8B	chr1	40223903	40254533	early	BRCA
TRIT1	chr1	40306706	40349177	early	BRCA
MYCL	chr1	40361096	40367687	early	BRCA
MFSD2A	chr1	40420784	40435628	early	BRCA
CAP1	chr1	40506255	40538321	early	BRCA
PPT1	chr1	40538382	40563142	early	BRCA
RLF	chr1	40627041	40706593	early	BRCA
ZMPSTE24	chr1	40723722	40759856	early	BRCA
COL9A2	chr1	40766163	40783060	early	BRCA
SMAP2	chr1	40839378	40888998	early	BRCA
ZFP69B	chr1	40915774	40929390	early	BRCA
ZFP69	chr1	40943302	40962015	early	BRCA
EXO5	chr1	40974433	40982214	early	BRCA
ZNF684	chr1	40997233	41013841	early	BRCA
RIMS3	chr1	41086352	41131324	early	BRCA
NFYC-AS1	chr1	41154752	41157933	early	BRCA
NFYC	chr1	41157242	41237276	early	BRCA
KCNQ4	chr1	41249684	41306124	early	BRCA
CTPS1	chr1	41445007	41478235	early	BRCA
SLFNL1-AS1	chr1	41480262	41509562	early	BRCA
SLFNL1	chr1	41481269	41487427	early	BRCA
SCMH1	chr1	41492871	41707815	early	BRCA
EDN2	chr1	41944446	41950344	early	BRCA
HIVEP3	chr1	41972036	42501596	early	BRCA
FOXJ3	chr1	42642210	42801548	early	BRCA
RIMKLA	chr1	42846468	42889900	early	BRCA
ZMYND12	chr1	42896001	42921938	early	BRCA
PPCS	chr1	42922173	42926086	early	BRCA
CCDC30	chr1	42929025	43120335	early	BRCA
PPIH	chr1	43124048	43142429	early	BRCA
YBX1	chr1	43148066	43168020	early	BRCA
CLDN19	chr1	43198764	43205925	early	BRCA
P3H1	chr1	43212006	43232755	early	BRCA
C1orf50	chr1	43232916	43241413	early	BRCA
TMEM269	chr1	43253661	43263901	early	BRCA
SVBP	chr1	43272723	43283059	early	BRCA
ERMAP	chr1	43282776	43310660	early	BRCA
ZNF691	chr1	43312244	43318146	early	BRCA
SLC2A1	chr1	43391046	43424847	early	BRCA
SLC2A1-AS1	chr1	43424720	43449029	early	BRCA
FAM183A	chr1	43613594	43622067	early	BRCA
EBNA1BP2	chr1	43629845	43736607	early	BRCA
CFAP57	chr1	43638001	43720029	early	BRCA
TMEM125	chr1	43735665	43739673	early	BRCA
C1orf210	chr1	43747557	43751288	early	BRCA
TIE1	chr1	43766566	43791552	early	BRCA
CDC20	chr1	43824626	43828873	early	BRCA
ELOVL1	chr1	43829068	43833745	early	BRCA
MED8	chr1	43849579	43855483	early	BRCA
SZT2	chr1	43855556	43919918	early	BRCA
HYI	chr1	43916674	43919660	early	BRCA
PTPRF	chr1	43996547	44089343	early	BRCA
KDM4A	chr1	44115797	44171189	early	BRCA
KDM4A-AS1	chr1	44165356	44173012	early	BRCA
ST3GAL3	chr1	44171495	44396837	early	BRCA
ARTN	chr1	44398992	44402912	early	BRCA
IPO13	chr1	44412478	44433694	early	BRCA
DPH2	chr1	44435653	44439043	early	BRCA
